0	[38]	ridge	0.7	0.610869565217	0.0	-0.207545343352	-0.130111750744	
2210	[13, 15, 18, 20, 30, 31, 32, 39, 41, 43, 56]	svm	0.7	0.769565217391	0.209782608696	-0.444639326112	[[ 0.27330122]   [ 0.80031637]   [ 0.42490318]   [ 0.74419505]   [-0.59460612]   [-1.59772772]   [-0.79816315]   [-0.46404853]   [-1.99272033]   [-0.85107182]   [ 0.00583558]]	
450	[23, 42, 47]	svm	0.7	0.694565217391	0.132608695652	-0.332516881505	[[ 2.48144376]   [-1.06272772]   [-0.65748538]]	
891	[1, 19, 33, 35, 40]	svm	0.5	0.683695652174	0.144565217391	-0.364174158762	[[ 0.24190482]   [ 0.12879907]   [-0.42150215]   [-1.20780272]   [ 0.24027862]]	
2651	[2, 6, 7, 15, 28, 32, 35, 44, 48, 51, 55, 56, 57]	svm	0.5	0.819565217391	0.247826086957	-0.490997157705	[[ -2.65805541e-02]   [  5.18843034e-01]   [  1.36183986e+00]   [  6.37128887e-01]   [ -1.12906813e-01]   [ -1.06552469e+00]   [ -8.99317867e-01]   [ -7.18613585e-01]   [ -1.88073132e+00]   [ -1.52585599e+00]   [ -1.13509926e-02]   [  6.16281950e-03]   [  1.98351179e-04]]	
11	[46]	svm	0.5	0.596739130435	0.0	-0.153037427372	-0.739077302181	
2211	[13, 15, 18, 20, 30, 31, 32, 39, 41, 43, 56]	svm	0.5	0.738043478261	0.165217391304	-0.444648805845	[[ 0.25730979]   [ 0.96292556]   [ 0.36942081]   [ 0.8017091 ]   [-0.77058137]   [-1.71665285]   [-0.81444332]   [-0.51454909]   [-2.4787409 ]   [-0.93920773]   [ 0.00585813]]	
1331	[16, 22, 24, 29, 41, 49, 54]	svm	0.5	0.755434782609	0.191304347826	-0.271628022685	[[ 0.3082476 ]   [ 0.26703622]   [ 0.64280692]   [-2.06420699]   [-2.28614203]   [-0.77891441]   [ 0.10925735]]	
1771	[1, 13, 15, 17, 25, 36, 43, 56, 57]	svm	0.5	0.790217391304	0.228260869565	-0.397230936559	[[  1.29556275e-01]   [  1.61321079e-01]   [  9.24458713e-01]   [  8.31709417e-01]   [ -1.07128780e+00]   [  5.14313735e-02]   [ -4.72207589e-01]   [  4.45962372e-03]   [  2.81740956e-04]]	
451	[23, 42, 47]	svm	0.5	0.721739130435	0.130434782609	-0.30999028807	[[ 2.26215764]   [-1.13407101]   [-0.77568202]]	
892	[6, 13, 29, 33, 48]	ridge	0.7	0.655434782609	0.115217391304	-0.285499697615	[[ 0.89504472]   [ 0.33674408]   [-0.2057841 ]   [-0.25682932]   [-0.22904101]]	
2652	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	0.7	0.759782608696	0.211956521739	-0.314189116082	[[ 0.18701827]   [ 0.25293222]   [ 0.37770832]   [ 0.60157342]   [ 0.26914482]   [-0.11333787]   [-0.04373217]   [-0.20808796]   [-0.38023626]   [-0.39664295]   [-0.2394395 ]   [-0.15155238]   [ 0.13644991]]	
2212	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	0.7	0.788043478261	0.233695652174	-0.575668192101	[[  1.92045199e-01]   [  2.34305655e-01]   [  2.36996055e-01]   [  9.95776145e-02]   [ -1.44318558e-01]   [  2.43432849e-02]   [ -1.16646665e-01]   [ -7.62609081e-02]   [ -1.09868632e-01]   [  8.77603744e-01]   [  5.34755153e-04]]	
12	[38]	ridge	0.7	0.601086956522	0.0	-0.212547844652	-0.122212563252	
1772	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	0.7	0.726086956522	0.189130434783	-0.530395434295	[[ 0.27389753]   [ 0.25516966]   [ 0.5022639 ]   [ 0.60274861]   [ 0.12004292]   [-0.18822893]   [-0.55059514]   [-0.23110801]   [-0.14736383]]	
