features	accuracy	lamda	sensitivity	classibias
[2  6  14  15  33  34  37  38  39  49  54]	0.70652173913	0.5	0.140217391304	-0.188285362741
[44]	0.597826086957	0.5	0.0	-0.180480827895
[31  42  55]	0.747826086957	0.7	0.184782608696	-0.613458869977
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.861956521739	0.5	0.278260869565	-0.448882746948
[8  21  26  30  33  35  37  50  55]	0.815217391304	0.5	0.255434782609	-0.400467243988
[6  9  11  19  27  34  38]	0.733695652174	0.5	0.205434782609	-0.47521508199
[31  42  55]	0.646739130435	0.5	0.0695652173913	-0.268883244178
[5  11  26  30  43]	0.746739130435	0.7	0.194565217391	-0.236515707903
[1  2  11  17  23  31  35  40  42  44  50]	0.753260869565	0.7	0.19347826087	-0.324197796323
[10]	0.615217391304	0.7	0.0347826086957	-0.256599458014
[13  15  24  26  33  36  41  49  54]	0.726086956522	0.7	0.15	-0.145177220382
[8  10  14  23  26  27  38  40  43  44  46  47  48]	0.792391304348	0.7	0.254347826087	-0.0721512416736
[5  11  26  30  43]	0.728260869565	0.5	0.177173913043	-0.233603060604
[2  17  20  28  36  42  56]	0.76847826087	0.7	0.211956521739	-0.515847309189
[1  2  11  17  23  31  35  40  42  44  50]	0.773913043478	0.5	0.197826086957	-0.312998929558
[10]	0.619565217391	0.5	0.0358695652174	-0.261531720229
[13  15  24  26  33  36  41  49  54]	0.713043478261	0.5	0.140217391304	-0.157658926844
[8  10  14  23  26  27  38  40  43  44  46  47  48]	0.813043478261	0.5	0.235869565217	-0.0329664116623
[19  28  36]	0.669565217391	0.7	0.134782608696	-0.377648482577
[2  17  20  28  36  42  56]	0.752173913043	0.5	0.183695652174	-0.436281374026
[19  28  36]	0.653260869565	0.5	0.135869565217	-0.392054778216
[1  30  39  45  56]	0.748913043478	0.7	0.163043478261	-0.32613402083
[7  8  10  15  30  33  35  39  44  51  55]	0.794565217391	0.7	0.213043478261	-0.357040382547
[41]	0.615217391304	0.7	0.0	-0.184095396625
[9  14  16  37  42  47  49  54  57]	0.759782608696	0.7	0.16847826087	-0.355361148336
[10  18  26  29  33  34  35  41  44  50  53  54  56]	0.827173913043	0.7	0.253260869565	-0.386180228852
[2  8  14  38  46  48  49]	0.68152173913	0.7	0.0945652173913	-0.187498242132
[1  30  39  45  56]	0.744565217391	0.5	0.158695652174	-0.337683442659
[7  8  10  15  30  33  35  39  44  51  55]	0.795652173913	0.5	0.210869565217	-0.357085036208
[41]	0.585869565217	0.5	0.0	-0.200552217991
[8  20  40]	0.653260869565	0.7	0.0608695652174	-0.309899178675
[9  14  16  37  42  47  49  54  57]	0.740217391304	0.5	0.177173913043	-0.392568166947
[10  18  26  29  33  34  35  41  44  50  53  54  56]	0.811956521739	0.5	0.253260869565	-0.405855647691
[2  8  14  38  46  48  49]	0.671739130435	0.5	0.115217391304	-0.198356461062
[8  20  40]	0.694565217391	0.5	0.0815217391304	-0.302985905546
[6  13  29  33  48]	0.722826086957	0.7	0.133695652174	-0.19393088107
[3  18  21  22  31  32  36  38  42  53  56]	0.836956521739	0.7	0.285869565217	-0.69781573194
[38]	0.598913043478	0.7	0.0	-0.21291413106
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.846739130435	0.7	0.298913043478	-0.22178584311
[1  3  8  15  19  31  43  48  49]	0.75	0.7	0.207608695652	-0.512941495633
[6  13  29  33  48]	0.713043478261	0.5	0.141304347826	-0.202231287724
[8  18  20  21  28  42  57]	0.773913043478	0.7	0.210869565217	-0.580101763306
[3  18  21  22  31  32  36  38  42  53  56]	0.842391304348	0.5	0.266304347826	-0.68978092601
[38]	0.605434782609	0.5	0.0	-0.209832647048
